Using Spark's default log4j profile: org/apache/spark/log4j-defaults.properties
20/01/28 22:16:35 INFO SparkContext: Running Spark version 3.0.0-preview
20/01/28 22:16:35 WARN NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
20/01/28 22:16:36 INFO ResourceUtils: ==============================================================
20/01/28 22:16:36 INFO ResourceUtils: Resources for spark.driver:

20/01/28 22:16:36 INFO ResourceUtils: ==============================================================
20/01/28 22:16:36 INFO SparkContext: Submitted application: WEDT
20/01/28 22:16:36 INFO SecurityManager: Changing view acls to: kubajal
20/01/28 22:16:36 INFO SecurityManager: Changing modify acls to: kubajal
20/01/28 22:16:36 INFO SecurityManager: Changing view acls groups to: 
20/01/28 22:16:36 INFO SecurityManager: Changing modify acls groups to: 
20/01/28 22:16:36 INFO SecurityManager: SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(kubajal); groups with view permissions: Set(); users  with modify permissions: Set(kubajal); groups with modify permissions: Set()
20/01/28 22:16:37 INFO Utils: Successfully started service 'sparkDriver' on port 58398.
20/01/28 22:16:37 INFO SparkEnv: Registering MapOutputTracker
20/01/28 22:16:37 INFO SparkEnv: Registering BlockManagerMaster
20/01/28 22:16:37 INFO BlockManagerMasterEndpoint: Using org.apache.spark.storage.DefaultTopologyMapper for getting topology information
20/01/28 22:16:37 INFO BlockManagerMasterEndpoint: BlockManagerMasterEndpoint up
20/01/28 22:16:37 INFO DiskBlockManager: Created local directory at C:\Users\user\AppData\Local\Temp\blockmgr-7100ea34-29b4-44df-84b5-5beb188e9da9
20/01/28 22:16:37 INFO MemoryStore: MemoryStore started with capacity 1992.9 MiB
20/01/28 22:16:37 INFO SparkEnv: Registering OutputCommitCoordinator
20/01/28 22:16:37 INFO Utils: Successfully started service 'SparkUI' on port 4040.
20/01/28 22:16:37 INFO SparkUI: Bound SparkUI to 0.0.0.0, and started at http://192.168.1.11:4040
20/01/28 22:16:38 INFO Executor: Starting executor ID driver on host 192.168.1.11
20/01/28 22:16:38 INFO Utils: Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 58457.
20/01/28 22:16:38 INFO NettyBlockTransferService: Server created on 192.168.1.11:58457
20/01/28 22:16:38 INFO BlockManager: Using org.apache.spark.storage.RandomBlockReplicationPolicy for block replication policy
20/01/28 22:16:38 INFO BlockManagerMaster: Registering BlockManager BlockManagerId(driver, 192.168.1.11, 58457, None)
20/01/28 22:16:38 INFO BlockManagerMasterEndpoint: Registering block manager 192.168.1.11:58457 with 1992.9 MiB RAM, BlockManagerId(driver, 192.168.1.11, 58457, None)
20/01/28 22:16:38 INFO BlockManagerMaster: Registered BlockManager BlockManagerId(driver, 192.168.1.11, 58457, None)
20/01/28 22:16:38 INFO BlockManager: Initialized BlockManager: BlockManagerId(driver, 192.168.1.11, 58457, None)
wczytano 180 wierszy dla trainDf
wczytano 180 wierszy dla testDf
layer(1);layer(2);f1;czas;stepSize
40;50;0.5410748305866963;12324;0.7
40;60;0.5194191675855713;13478;0.7
40;70;0.536561824149939;15000;0.7
40;80;0.538191093630646;12811;0.7
40;90;0.5783155060987205;15001;0.7
40;100;0.554525837407103;12979;0.7
50;10;0.25816548554453245;11291;0.7
50;20;0.306271174836058;11540;0.7
50;30;0.4041423715393231;11504;0.7
50;40;0.5022020073208959;11771;0.7
50;50;0.5138462366068771;11820;0.7
50;60;0.5497947465430004;12506;0.7
50;70;0.47436746922195505;13076;0.7
50;80;0.45366701150872474;13099;0.7
50;90;0.4404957822377849;13936;0.7
50;100;0.4432460035816007;13204;0.7
60;10;0.25023827523319075;11446;0.7
60;20;0.3281888034047401;11656;0.7
60;30;0.44189125511228544;11859;0.7
60;40;0.4987035211563862;11946;0.7
60;50;0.5258312121332764;12302;0.7
60;60;0.4866231570474673;12399;0.7
60;70;0.5026520381270141;13338;0.7
60;80;0.43173874407368523;13271;0.7
60;90;0.4579282529519844;14433;0.7
60;100;0.5086489958430535;16821;0.7
70;10;0.24101872945210356;11688;0.7
70;20;0.3880849071337977;12403;0.7
70;30;0.4926372573667962;12317;0.7
70;40;0.46344895623452437;12259;0.7
70;50;0.41862631657935534;12698;0.7
70;60;0.45001660933731163;12864;0.7
70;70;0.5804851979456649;13800;0.7
70;80;0.5837925204086114;13992;0.7
70;90;0.5620107684313742;13957;0.7
70;100;0.5618550422844459;13960;0.7
80;10;0.2834352673116324;11731;0.7
80;20;0.3799658727578079;11841;0.7
80;30;0.43101038580544654;12102;0.7
80;40;0.4736081342159425;12314;0.7
80;50;0.5128647860582262;12659;0.7
80;60;0.48582984914414595;13172;0.7
80;70;0.6071047052203911;13523;0.7
80;80;0.5649094997612842;14639;0.7
80;90;0.6128344114221791;15100;0.7
80;100;0.5178865770397703;17197;0.7
90;10;0.19234828246360292;11867;0.7
90;20;0.35443396483180395;12222;0.7
90;30;0.3426550970013829;12506;0.7
90;40;0.4791908236595869;12627;0.7
90;50;0.45125348149967087;13261;0.7
90;60;0.5546474615186944;13317;0.7
90;70;0.4646081256321657;14894;0.7
90;80;0.4974207926373081;14196;0.7
90;90;0.5254873990973546;15611;0.7
90;100;0.5111008800549357;16750;0.7
100;10;0.24017043267863256;12461;0.7
100;20;0.3218904674205465;12641;0.7
100;30;0.4115609968771879;12678;0.7
100;40;0.4896756168763886;12999;0.7
100;50;0.49929946928897334;13238;0.7
100;60;0.4550386939148273;13473;0.7
100;70;0.5485569035833361;14391;0.7
100;80;0.48816007037102926;15115;0.7
100;90;0.4433119667407145;15199;0.7
100;100;0.5421123663354032;18866;0.7
10;10;0.2803462083063063;10527;1.0
10;20;0.20386979666562918;10340;1.0
10;30;0.45061779208065145;10862;1.0
10;40;0.3840681075893116;10700;1.0
10;50;0.47405913638458486;11141;1.0
10;60;0.5543293584299951;11851;1.0
10;70;0.35777478221252096;11674;1.0
10;80;0.4812975972313035;11618;1.0
10;90;0.25639424326682675;11544;1.0
10;100;0.2520394805761536;12006;1.0
20;10;0.2919717645411372;10625;1.0
20;20;0.3880516566275779;10854;1.0
20;30;0.46774455579935026;13197;1.0
20;40;0.4912488671217593;15428;1.0
20;50;0.4966203901300177;14841;1.0
20;60;0.5232376399042036;13046;1.0
20;70;0.4658180269448646;14281;1.0
20;80;0.4214250444422364;14793;1.0
20;90;0.5460773129529447;16280;1.0
20;100;0.39955222829937675;14174;1.0
30;10;0.38189814306430164;12585;1.0
30;20;0.4708051418329635;12838;1.0
30;30;0.44162711320735626;13416;1.0
30;40;0.49521282028223956;12303;1.0
30;50;0.3896707315122905;12290;1.0
30;60;0.4782538161676113;12863;1.0
30;70;0.4985545818770591;13833;1.0
30;80;0.5381499220682704;17574;1.0
30;90;0.5543926100553536;15844;1.0
30;100;0.5274316457825622;15330;1.0
40;10;0.17858361010438958;11278;1.0
40;20;0.42876071817364503;12278;1.0
40;30;0.43085281639277395;12100;1.0
40;40;0.4567549142249122;12293;1.0
40;50;0.5328486817746321;12769;1.0
40;60;0.5142522758240433;14468;1.0
40;70;0.550215056676411;15714;1.0
40;80;0.538191093630646;13134;1.0
40;90;0.5783155060987205;14509;1.0
40;100;0.5575580712139848;13778;1.0
50;10;0.26037921952297227;11709;1.0
50;20;0.3172207646678396;11919;1.0
50;30;0.4041423715393231;11891;1.0
50;40;0.49215702632380226;12570;1.0
50;50;0.5138462366068771;12872;1.0
50;60;0.5497947465430004;14187;1.0
50;70;0.47755629917134834;13558;1.0
50;80;0.4511005013365808;14025;1.0
50;90;0.4451180044600071;15030;1.0
50;100;0.4405874177230148;15116;1.0
60;10;0.24919654200554198;12847;1.0
60;20;0.32537371802064063;12192;1.0
60;30;0.4442252591364303;12649;1.0
60;40;0.4882850507379158;12740;1.0
60;50;0.5226566089586733;13117;1.0
60;60;0.4840257544500647;13407;1.0
60;70;0.5026520381270141;13809;1.0
60;80;0.43338257969012356;13833;1.0
60;90;0.46980039907070587;15243;1.0
60;100;0.5058320944346028;17432;1.0
70;10;0.25630953057543415;12092;1.0
70;20;0.37857758340729586;13477;1.0
70;30;0.4906267096192621;13055;1.0
70;40;0.48267300432826177;13005;1.0
70;50;0.42451838007141884;13741;1.0
70;60;0.4506192699947668;13955;1.0
70;70;0.5795719559365324;14236;1.0
70;80;0.5837925204086114;14696;1.0
70;90;0.5625060065266123;14467;1.0
70;100;0.5618550422844459;14950;1.0
80;10;0.2896761093036173;12071;1.0
80;20;0.3894574250140138;12784;1.0
80;30;0.4286560578173157;12903;1.0
80;40;0.4842204841144202;13248;1.0
80;50;0.5175763786909455;13432;1.0
80;60;0.4862824558981226;13806;1.0
80;70;0.6071047052203911;13915;1.0
80;80;0.5679267009264307;14603;1.0
80;90;0.5954606740484417;16428;1.0
80;100;0.520375465928659;17823;1.0
90;10;0.20454227340605885;12226;1.0
90;20;0.3455974865074614;12645;1.0
90;30;0.3499226034125513;13245;1.0
90;40;0.47483552903031967;13539;1.0
90;50;0.46081961906580843;14213;1.0
90;60;0.5564252392964721;14195;1.0
90;70;0.4646081256321657;15334;1.0
90;80;0.5004510956676111;14594;1.0
90;90;0.5252355472455028;15934;1.0
90;100;0.5051853870971892;17472;1.0
100;10;0.22970291645313834;12700;1.0
100;20;0.3363582004178569;12888;1.0
100;30;0.40426937444298394;13476;1.0
100;40;0.48647561687638863;13602;1.0
100;50;0.49929946928897334;13567;1.0
100;60;0.46278000587531753;13951;1.0
100;70;0.5485569035833361;14890;1.0
100;80;0.4855006390355416;16025;1.0
100;90;0.4378897445184923;16675;1.0
100;100;0.5416323956019113;22356;1.0
